NoCommande;PrioriteCommande;IdClient;Produit;PrixUnitaire;MargeProduitBrut;Discount;FraisExpedition;ModeExpedition;SegmentClient;DateCommande;DateExpedition;Marge;QuantiteVentes;MontantVentes
88242;Urgent;3076;P00198;3,85;0,44;0,09;0,7;Voie aérienne;Particulier;05/01/2011 00:00;05/01/2011 00:00;19,8513;8;28,77
14755;Urgent;3079;P00198;3,85;0,44;0,09;0,7;Voie aérienne;Particulier;05/01/2011 00:00;05/01/2011 00:00;11,828;31;111,48
57318;Moyen;1193;P00207;4,91;0,36;0,02;0,5;Voie aérienne;TPE;10/01/2011 00:00;12/01/2011 00:00;29,656;33;158,79
87774;Urgent;2593;P00208;10,35;0,37;0,04;0,99;Voie aérienne;Entreprise;16/01/2011 00:00;17/01/2011 00:00;-87,122;3;30,7
85907;Moyen;810;P00209;2,89;0,38;0,03;0,5;Voie aérienne;Particulier;28/01/2011 00:00;29/01/2011 00:00;14,0415;7;20,35
88257;Urgent;1788;P00210;6,3;0,39;0,02;0,5;Voie aérienne Express;Particulier;28/01/2011 00:00;30/01/2011 00:00;-37,716;8;54,13
86640;Non précisé;760;P00200;40,98;0,36;0,02;2,99;Voie aérienne Express;TPE;02/02/2011 00:00;03/02/2011 00:00;150,7167;5;218,43
90882;Non précisé;1242;P00187;3,08;0,37;0,01;0,99;Voie aérienne Express;Entreprise;02/02/2011 00:00;04/02/2011 00:00;-30,856;10;36,07
88619;Critique;2319;P00189;3,58;0,37;0;5,47;Voie aérienne;TPE;08/02/2011 00:00;10/02/2011 00:00;-142,9105;10;37,92
90526;Peu urgent;1814;P00192;3,08;0,37;0,06;0,99;Voie aérienne;Home Office;10/02/2011 00:00;15/02/2011 00:00;45,852;1;3,3
89482;Urgent;2740;P00211;4,13;0,39;0,06;6,89;Voie aérienne;TPE;10/02/2011 00:00;12/02/2011 00:00;-14,29;1;6,49
32931;Peu urgent;3004;P00175;2,88;0,36;0,06;0,5;Voie aérienne;Entreprise;15/02/2011 00:00;22/02/2011 00:00;32,7;31;86,1
91390;Peu urgent;3005;P00175;2,88;0,36;0,06;0,5;Voie aérienne;Entreprise;15/02/2011 00:00;22/02/2011 00:00;15,3318;8;22,22
86797;Moyen;3132;P00212;2,88;0,39;0,05;0,5;Voie aérienne;Entreprise;21/02/2011 00:00;22/02/2011 00:00;6,0996;3;8,84
90127;Non précisé;1660;P00196;6,3;0,39;0,1;0,5;Voie aérienne;TPE;24/02/2011 00:00;25/02/2011 00:00;19,5615;5;28,35
86251;Critique;547;P00212;2,88;0,39;0,09;0,5;Voie aérienne Express;Entreprise;26/02/2011 00:00;26/02/2011 00:00;21,0312;10;30,48
89418;Peu urgent;3074;P00213;1,95;0,46;0,02;1,63;Voie aérienne;Entreprise;26/02/2011 00:00;03/03/2011 00:00;1145,418;8;16,93
38979;Peu urgent;3075;P00213;1,95;0,46;0,02;1,63;Voie aérienne;Entreprise;26/02/2011 00:00;03/03/2011 00:00;-16,63;31;65,61
90692;Non précisé;3183;P00214;41,94;0,35;0,03;2,99;Voie aérienne;Home Office;07/03/2011 00:00;10/03/2011 00:00;60,6303;2;87,87
86313;Non précisé;592;P00184;3,69;0,38;0,1;0,5;Voie aérienne Express;Particulier;12/03/2011 00:00;14/03/2011 00:00;9,3978;3;13,62
90768;Non précisé;3280;P00189;3,58;0,37;0;5,47;Voie aérienne;Home Office;28/03/2011 00:00;30/03/2011 00:00;17,8794;6;24,08
29700;Moyen;1193;P00192;3,08;0,37;0,01;0,99;Voie aérienne;Particulier;06/04/2011 00:00;07/04/2011 00:00;5,02;9;30,35
86034;Urgent;2641;P00215;4,98;0,39;0,03;0,49;Voie aérienne;Home Office;16/04/2011 00:00;17/04/2011 00:00;192,222;8;39,8
89698;Moyen;1850;P00216;4,91;0,36;0,06;0,5;Voie aérienne;Particulier;19/04/2011 00:00;19/04/2011 00:00;-41,384;5;23,54
85900;Non précisé;1918;P00177;4,13;0,39;0,07;0,5;Voie aérienne;Home Office;26/04/2011 00:00;27/04/2011 00:00;-132,692;7;27,55
88436;Non précisé;3201;P00214;41,94;0,35;0,09;2,99;Voie aérienne;Particulier;27/04/2011 00:00;28/04/2011 00:00;113,7672;4;164,88
90788;Non précisé;1720;P00189;3,58;0,37;0,06;5,47;Voie aérienne Express;Entreprise;30/04/2011 00:00;02/05/2011 00:00;-2192,246;11;43,73
14855;Non précisé;1723;P00189;3,58;0,37;0,06;5,47;Voie aérienne Express;Entreprise;30/04/2011 00:00;02/05/2011 00:00;-150,903;44;174,9
86953;Urgent;2395;P00178;3,15;0,37;0,07;0,5;Voie aérienne Express;Entreprise;02/05/2011 00:00;05/05/2011 00:00;327,066;4;17,64
89911;Moyen;799;P00217;4,91;0,36;0,01;0,5;Voie aérienne Express;Particulier;14/05/2011 00:00;16/05/2011 00:00;60,48;9;49,37
90664;Moyen;1301;P00174;2,88;0,36;0,07;0,99;Voie aérienne;Home Office;15/05/2011 00:00;15/05/2011 00:00;0,88;3;8,57
88139;Urgent;2467;P00207;4,91;0,36;0,05;0,5;Voie aérienne;Entreprise;20/05/2011 00:00;21/05/2011 00:00;-31,472;11;54,39
88892;Moyen;679;P00203;2,61;0,39;0,09;0,5;Voie aérienne;Entreprise;21/05/2011 00:00;21/05/2011 00:00;27,393;16;39,7
88001;Non précisé;956;P00214;41,94;0,35;0,03;2,99;Voie aérienne;Particulier;23/05/2011 00:00;24/05/2011 00:00;202,3839;7;293,31
89027;Urgent;3188;P00201;3,75;0,37;0,09;0,5;Voie aérienne;Particulier;23/05/2011 00:00;25/05/2011 00:00;30,36;12;44
87428;Critique;1558;P00179;2,88;0,36;0,03;5,33;Voie aérienne;Particulier;27/05/2011 00:00;30/05/2011 00:00;-100,77732;17;49,42
89565;Peu urgent;3238;P00210;6,3;0,39;0,08;0,5;Voie aérienne Express;Entreprise;27/05/2011 00:00;05/06/2011 00:00;74,451;17;107,9
88944;Urgent;269;P00207;4,91;0,36;0,04;0,5;Voie aérienne;Home Office;29/05/2011 00:00;30/05/2011 00:00;43,125;13;62,5
35840;Urgent;272;P00207;4,91;0,36;0,04;0,5;Voie aérienne;Home Office;29/05/2011 00:00;30/05/2011 00:00;54,6921;52;250
88115;Moyen;2731;P00202;2,84;0,36;0;5,44;Voie aérienne;Particulier;03/06/2011 00:00;05/06/2011 00:00;-56,8284;7;22,48
88049;Urgent;216;P00215;4,98;0,39;0,08;0,49;Voie aérienne Express;Particulier;06/06/2011 00:00;06/06/2011 00:00;40,6548;11;58,92
